node_id,article_node_name,evidence_inclusion,Peer_reviewed_source,evidence_type,has_data,of_quality,evidence_type_synthetic,evidence_type_fine,evidence_type_simple,in_support,evidence_type_synthetic_simple
(Engilis Jr & Pratt 1993)_EXCLUDE_NA_No claim_NA_NA,(Engilis Jr & Pratt 1993),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Whitaker et al. 2005)_EXCLUDE_NA_Unpublished data or article_NA_NA,(Whitaker et al. 2005),EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
(Whitaker et al. 2005)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Whitaker et al. 2005),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Meckstroth et al. 2007)_EXCLUDE_NA_No claim_NA_NA,(Meckstroth et al. 2007),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Rodríguez-Ferraro & Sanz 2007)_INCLUDE_NA_Predation in support_no_no,(Rodríguez-Ferraro & Sanz 2007),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Cheke 1987)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Cheke 1987),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Valido et al. 2000)_EXCLUDE_NA_Expert opinion_NA_NA,(Valido et al. 2000),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Autai et al. 2012)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Autai et al. 2012),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(ACAP 2009a)_EXCLUDE_NA_Expert opinion_NA_NA,(ACAP 2009a),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(ACAP 2010a)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(ACAP 2010a),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(ACAP 2010c)_EXCLUDE_NA_Expert opinion_NA_NA,(ACAP 2010c),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Alberts 2000) core source_INCLUDE_NA_Predation in support_no_no,(Alberts 2000) core source,INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Andreone & Guarino 2003)_EXCLUDE_NA_Expert opinion_NA_NA,(Andreone & Guarino 2003),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Araya et al. 2000)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Araya et al. 2000),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Lloyd 2001)_INCLUDE_NA_Predation in support_no_no,(Lloyd 2001),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Gangloff et al. 2009)_EXCLUDE_NA_No claim_NA_NA,(Gangloff et al. 2009),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Miller & Mullette 1985)_INCLUDE_NA_Predation not in support_no_no,(Miller & Mullette 1985),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Keitt et al. 2005)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Keitt et al. 2005),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
"(Wilson & van Veen 2005)_EXCLUDE_Newspaper, newsletter or magazine_Failure to access or locate online full citation_NA_NA",(Wilson & van Veen 2005),EXCLUDE,"Newspaper, newsletter or magazine",Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Bentz et al. 2011)_EXCLUDE_NA_Expert opinion_NA_NA,(Bentz et al. 2011),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Bonnaud et al. 2012)_INCLUDE_NA_Predation in support_no_no,(Bonnaud et al. 2012),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Burbidge et al. 2010)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Burbidge et al. 2010),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Burns et al. 2013)_INCLUDE_NA_Population in support_yes_yes,(Burns et al. 2013),INCLUDE,"",Population in support,yes,yes,Population in support with data of quality,Population in support with data of quality,Population with data,Yes,Population in support with data
(Burns et al. 2013)_INCLUDE_NA_Predation in support_no_no,(Burns et al. 2013),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(O'Donnell & Hoare 2011)_EXCLUDE_NA_Does not test claim_NA_NA,(O'Donnell & Hoare 2011),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Does not test claim,Excluded,Not relevant,Excluded
(Jones et al. 1995)_INCLUDE_NA_Predation in support_no_no,(Jones et al. 1995),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(MacFarland et al. 1974a)_INCLUDE_NA_Population not in support_yes_no,(MacFarland et al. 1974a),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(MacFarland et al. 1974a)_INCLUDE_NA_Predation in support_no_no,(MacFarland et al. 1974a),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(MacFarland et al. 1974b)_EXCLUDE_NA_Expert opinion_NA_NA,(MacFarland et al. 1974b),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Robertson 2001)_EXCLUDE_NA_No claim_NA_NA,(Robertson 2001),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Lorenzo et al. 2011)_EXCLUDE_NA_Expert opinion_NA_NA,(Lorenzo et al. 2011),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Palmer et al. 2003)_EXCLUDE_NA_Expert opinion_NA_NA,(Palmer et al. 2003),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Cade & Jones 1993)_EXCLUDE_Peer-reviewed journal article_Failure to access or locate online full citation_NA_NA,(Cade & Jones 1993),EXCLUDE,Peer-reviewed journal article,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Clough 1976)_EXCLUDE_NA_No claim_NA_NA,(Clough 1976),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Duffy & Capece 2014)_INCLUDE_NA_Predation in support_no_no,(Duffy & Capece 2014),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Kesler et al. 2012)_EXCLUDE_NA_Expert opinion_NA_NA,(Kesler et al. 2012),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Wills et al. 2003)_INCLUDE_NA_Predation in support_no_no,(Wills et al. 2003),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Wills et al. 2003)_INCLUDE_NA_Predation not in support_no_no,(Wills et al. 2003),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(James et al. 2007)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(James et al. 2007),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Priddel & Wheeler 1996)_EXCLUDE_NA_Expert opinion_NA_NA,(Priddel & Wheeler 1996),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Priddel & Wheeler 1997)_INCLUDE_NA_Predation in support_no_no,(Priddel & Wheeler 1997),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Priddel & Wheeler 1994)_INCLUDE_NA_Predation in support_no_no,(Priddel & Wheeler 1994),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Day et al. 2003)_EXCLUDE_NA_Expert opinion_NA_NA,(Day et al. 2003),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Deem et al. 2010)_EXCLUDE_NA_Does not test claim_NA_NA,(Deem et al. 2010),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Does not test claim,Excluded,Not relevant,Excluded
(Conservation 2001b)_EXCLUDE_NA_Expert opinion_NA_NA,(Conservation 2001b),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Wildlife 2014)_EXCLUDE_NA_Expert opinion_NA_NA,(Wildlife 2014),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Wildlife 2014)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Wildlife 2014),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Management 2010)_EXCLUDE_NA_Expert opinion_NA_NA,(Management 2010),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Dutson 2013)_EXCLUDE_NA_Expert opinion_NA_NA,(Dutson 2013),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Rave et al. 2005)_INCLUDE_NA_Predation in support_no_no,(Rave et al. 2005),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Mellink et al. 2002)_EXCLUDE_NA_Expert opinion_NA_NA,(Mellink et al. 2002),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Kennedy 2009)_EXCLUDE_NA_Expert opinion_NA_NA,(Kennedy 2009),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Andreone & Gavetti 1998)_EXCLUDE_NA_Expert opinion_NA_NA,(Andreone & Gavetti 1998),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Cruz-Delgado et al. 2010)_INCLUDE_NA_Predation not in support_no_no,(Cruz-Delgado et al. 2010),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Vilella 1995)_EXCLUDE_NA_No claim_NA_NA,(Vilella 1995),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Faulquier et al. 2009)_INCLUDE_NA_Predation in support_no_no,(Faulquier et al. 2009),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Elliott & Kemp 2004)_EXCLUDE_NA_No claim_NA_NA,(Elliott & Kemp 2004),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Witteman et al. 1990)_EXCLUDE_Peer-reviewed journal article_Failure to access or locate online full citation_NA_NA,(Witteman et al. 1990),EXCLUDE,Peer-reviewed journal article,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Garnett et al. 2011) core source_INCLUDE_NA_Population in support_no_no,(Garnett et al. 2011) core source,INCLUDE,"",Population in support,no,no,Population in support without data,Population in support without data,Population without data,Yes,Population in support without data
(Garnett et al. 2011) core source_INCLUDE_NA_Predation in support_no_no,(Garnett et al. 2011) core source,INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Gibbons 1984)_EXCLUDE_NA_Expert opinion_NA_NA,(Gibbons 1984),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Gillies et al. 2003)_INCLUDE_NA_Population in support_yes_no,(Gillies et al. 2003),INCLUDE,"",Population in support,yes,no,Population in support with data,Population in support with data,Population with data,Yes,Population in support with data
(Gillies et al. 2003)_INCLUDE_NA_Predation in support_no_no,(Gillies et al. 2003),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Gillies et al. 2003)_EXCLUDE_NA_No claim_NA_NA,(Gillies et al. 2003),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Gordon et al. 2015)_INCLUDE_NA_Population not in support_yes_yes,(Gordon et al. 2015),INCLUDE,"",Population not in support,yes,yes,Population not in support with data of quality,Population not in support with data of quality,Population with data,No,Population not in support with data
(Greenway 1967)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Greenway 1967),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Hasegawa et al. 2002)_EXCLUDE_NA_Expert opinion_NA_NA,(Hasegawa et al. 2002),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Hahn et al. 2004)_EXCLUDE_NA_Expert opinion_NA_NA,(Hahn et al. 2004),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Hedges & Conn 2012)_EXCLUDE_NA_Expert opinion_NA_NA,(Hedges & Conn 2012),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
