original,Endnote_intext_citation
"Rupp, E., Inchaustegui, S.J. and Arias, Y. 2008. Conserving Cyclura ricordii 2007. Iguana: Conservation, Natural History, and Husbandry of Reptiles 15(1): 2–7.",(Rupp et al. 2008)
"Russell, J.C.; Lecomte, V.; Dumont, Y.; Corre, M. 2009. Intraguild predation and mesopredator release effect on long-lived prey. Ecological Modelling 220: 1098-1104.",(Russell et al. 2009)
"Ruíz, J.R. and Flores, R.A. 2014. In: Ceballos, G. (ed.), Mammals of Mexico, John Hopkins University Press.",(Ruíz & Flores 2014)
"Ryan, M. 2021. ST.KITTS BULLFINCH GRANTED FULL SPECIE STATUS—Although extinct for almost 100 years!!! Available at: https://birdsofstkittsnevis.com/2021/06/27/st-kitts-bullfinch-granted-full-specie-status-although-extinct-for-almost-100-years/. .",(Ryan 2021)
"Ryan, P. G.; Cooper, J.; Dyer, B. M.; Underhill, L. G.; Crawford, R. J. M.; Bester, M. N. 2003. Counts of surface-nesting seabirds breeding at Prince Edward Island, Summer 2001/02. African Journal of Marine Science 25(1): 441-451.",(Ryan et al. 2003)
"Ryan, P.G., Whittington, P.A. and Crawford, R.J.M. 2009. A tale of two islands: contrasting fortunes for Subantarctic skuas at the Prince Edward Islands. African Journal of Marine Science 31: 431-437.",(Ryan et al. 2009)
"S. B. Muzaffar, S. D. Benjamin, R. E. Gubiani, The impact of fox and feral cat predation on the population viability of the threatened, endemic socotra cormorant on Siniya Isalnd, United Arad Emirates. Marine Ornithology. 41, 171–177 (2013).",(Muzaffar et al. 2013)
"S. C. Hess, P. C. Banko, “Feral cats: too long a threat to Hawaiian wildlife” (USGS, Hawaii, 2006).",(Hess & Banko 2006)
S. Chan pers. comm. 2015,S. Chan pers. comm. 2015
"S. Churchill, “Recovery plan for the sandhill dunnart (Sminthopsis psammophila)” (Department of Environment and Heritage, Adelaide, 2001).",(Churchill 2001)
"S. Judge, J. S. Lippert, K. Misajon, D. Hu, S. C. Hess, Videographic evidence of endangered species depredation by feral cat. Pacific Conservation Biology. 18, 293–296 (2012).",(Judge et al. 2012)
S. Legge pers.comm.,S. Legge pers.comm.
"S. M. Ferreira et al., Conservation of the endangered New Zealand fairy tern. Biological Conservation. 125, 345–354 (2005).",(Ferreira et al. 2005)
"S. Molur et al., “Status of South Asian Non-volant Small Mammals: Conservation Assessment and Management Plan (C.A.M.P.) Workshop Report” (Zoo Outreach Organisation / CBSG-South Asia, Coimbatore, 2005).",(Molur et al. 2005)
"S. Mountainspring, T. Casey, C. B. Kepler, J. M. Scott, Ecology, behavior, and conservation of the Poo-uli (Melamprosops phaeosoma). The Wilson Bulletin. 102, 109–122 (1990).",(Mountainspring et al. 1990)
"S. Oppel et al., Is the yelkouan shearwater Puffinus yelkouan threatened by low adult survival probabilities? Biological Conservation. 144, 2255–2263 (2011).",(Oppel et al. 2011)
"S. T. Álvarez-Castañeda, P. Cortés-Calva, Peromyscus caniceps. Mammalian Species. 602, 1–2 (1998).",(Alvarez-Castañeda et al. 1998)
"S. T. Álvarez-Castañeda, Peromyscus pseudocrinitus. Mammalian Species. 601, 1–3 (1998).",(Alvarez-Castañeda 1998)
"S. T. Álvarez-Castañeda, Peromyscus sejugis. Mammalian Species. 658, 1–2 (2001).",(Alvarez-Castañeda 2001)
S.B. Hedges and B. Wilson pers. comm. 2015,S.B. Hedges and B. Wilson pers. comm. 2015
S.B. Hedges pers. comm. 2015,S.B. Hedges pers. comm. 2015
S.B. Hedges pers. comm. 2016,S.B. Hedges pers. comm. 2016
S.D. Buckner pers. comm. 2015,S.D. Buckner pers. comm. 2015
S.D. Buckner pers. comm. 2016,S.D. Buckner pers. comm. 2016
S.O.P. Manu. 2015. Ptilope de la Société. Available at: http://manu.pf/portfolios/ptilope-de-la-societe/. (Accessed: 09/07/2018).,(S.O.P. & Manu 2015)
S.R. Ganesh and S.R. Chandramouli pers. comm. October 2020,S.R. Ganesh and S.R. Chandramouli pers. comm. October 2020
"SPREP. 2000. Invasive species in the Pacific: A technical review and draft regional strategy. In: Sherley, G (ed.). SPREP, Apia, Samoa.",(SPREP 2000)
"Sanchez, M. 2015. Outil de gestion pour les reptiles terrestres de l’île de Juan de Nova (Océan Indien, Canal du Mozambique): inventaire, distribution et densités des populations prééradication des chats. Rapport Nature Océan Indien.",(Sanchez 2015)
"Sanders, M.D., Maloney, R.F. 2002. Causes of mortality at nests of ground-nesting birds in the Upper Waitaki Basin, South Island, New Zealand: a 5-year video study. Biological Conservation 106(2): 225-236.",(Sanders & Maloney 2002)
"Sarr, Z., N. P. Shema, and C. P. Stone (1998). Nesting success and population status of the ‘Elepaio (Chasiempis sandwichensis) in the Mauna Loa Strip section of Hawaii Volcanoes National Park. Pacific Cooperative Studies Unit Technical Report 174, University of Hawaii at Mānoa, HI, USA.",(Sarr et al. 1998)
"Saxon-Mills, E.C., Moseby, K., Blumstein, D.T. and Letnic, M., 2018. Prey naïveté and the anti-predator responses of a vulnerable marsupial prey to known and novel predators. Behavioral Ecology and Sociobiology, 72, pp.1-10.",(Saxon-Mills et al. 2018)
"Schaefer, R. and Colombelli‐Négrel, D., 2021. Behavioural and heart rate responses to stressors in two populations of little penguins that differ in levels of human disturbance and predation risk. Ibis, 163(3), pp.858-874.",(Schaefer & Colombelli‐Négrel 2021)
"Schoenjahn, J., Pavey, C.R. and Walter, G.H., 2020. Ecology of the Grey Falcon Falco hypoleucos–current and required knowledge. Emu-Austral Ornithology, 120(1), pp.74-82.",(Schoenjahn et al. 2020)
"Schramm, M., 1986. Burrow densities and nest site preferences of petrels (Procellariidae) at the Prince Edwards Islands. Polar Biology, 6, pp.63-70.",(Schramm 1986)
"Schulz, M., Bamford, M. 1987. The Hooded Plover: an RAOU conservation statement. Royal Australasian Ornithologists Union, Melbourne.",(Schulz & Bamford 1987)
"Schwartz, A. and Carey, M. 1977. Systematics and evolution in the West Indian iguanid genus Cyclura. Studies of the Fauna of Curaçao and other Caribbean Islands 53(173): 15–97.",(Schwartz & Carey 1977)
"Schwarz, E., 1995. Habitat use in a population of mainland Tasmanian feral cats, Felis catus. Graduate Diploma Honours Thesis. University of Tasmania, Hobart.",(Schwarz 1995)
"Scott, L. (1994). Preliminary report on the long‐nosed bandicoot population at the Quarantine Station, North‐ Head, Sydney Harbour National Park. Unpublished report, School of Biological Sciences, University of Sydney, Sydney, Australia.",(Scott 1994)
"Scott, T.A. and M.L. Morrison. 1990. Natural history and management of the San Clemente Loggerhead Shrike. Proc. West. Found. Vertebrate Zool. 4: 23-57.",(Scott & Morrison 1990)
"Scrimgeour, J., Beath, A. and Swanney, M., 2012. Cat predation of short-tailed bats (Mystacina tuberculata rhyocobia) in rangataua forest, Mount Ruapehu, central North Island, New Zealand. New Zealand Journal of Zoology, 39(3), pp.257-260.",(Scrimgeour et al. 2012)
"Seddon, P.J., Ellenberg, U. and Van Heezik, Y., 2013. Yellow-eyed penguin. Penguins: natural history and conservation, 1, pp.90-110.",(Seddon et al. 2013)
Seitre and Seitre 1991,Seitre and Seitre 1991
"Seitre, R., Seitre, J. 1992. Causes of land-bird extinctions in French Polynesia. Oryx 26: 215-222.",(Seitre 1992)
"Seitre, R.; Seitre, J. 1991. Causes de disparition des oiseaux terrestres de Polynésie Française. South Pacific Regional Environment Programme, Nouméa.",(Seitre & Seitre 1989)
"Semedo GI, Paiva VH, Militão TE, Rodrigues I, Dinis HA, Pereira JO, Matos DI, Ceia FR, Almeida NM, Geraldes PE, Saldanha SA. Distribution, abundance, and on-land threats to Cabo Verde seabirds. Bird Conservation International. 2021 Mar;31(1):53-76.",(Semedo et al. 2021)
"Serena, M., Soderquist, T.R. & Morris, K. ( 1991). The chuditch (Dasyurus geoffroit). Western Australian Wildlife Management Program No. 7, Department of Conservation and Land Management, Perth.",(Serena et al. 1991)
"Serra G., Sherley G., Failahi S. A., Foliga, S. T., Uili, M., Enoka, F. and Suaesi, T. 2017. Traditional ecological knowledge of the Critically Endangered Tooth-billed Pigeon Didunculus strigirostris, endemic to Samoa. Bird Conservation International doi:10.1017/S0959270917000259: 23pp.",(Serra et al. 2018)
"Servín, J., E. Chacón, and G. Ceballos. ""Mammals of México."" (2014): 514-515.",(Servín et al. 2014)
"Shionosaki, K., Yamada, F., Ishikawa, T. and Shibata, S., 2015. Feral cat diet and predation on endangered endemic mammals on a biodiversity hot spot (Amami–Ohshima Island, Japan). Wildlife Research, 42(4), pp.343-352.",(Shionosaki et al. 2015)
"Shirihai, H., Díaz, H. A., Huichalaf, J. E., Bretagnolle, V. 2015. Endemic breeding birds of Juan Fernández archipelago, Chile. Dutch Birding 37: 1-20.",(Shirihai et al. 2015)
"Short, J. and Hide, A., 2011. Distribution and status of the red-tailed phascogale (Phascogale calura). Australian Mammalogy, 34(1), pp.88-99.",(Short & Hide 2012)
"Short, J. and Turner, B., 1994. A test of the vegetation mosaic hypothesis: a hypothesis to explain the decline and extinction of Australian mammals. Conservation Biology, 8(2), pp.439-449.",(Short & Turner 1994)
"Short, J. and Turner, B., 2000. Reintroduction of the burrowing bettong Bettongia lesueur (Marsupialia: Potoroidae) to mainland Australia. Biological Conservation, 96(2), pp.185-196.",(Short & Turner 2000)
"Short, J., 2016. Predation by feral cats key to the failure of a long-term reintroduction of the western barred bandicoot (Perameles bougainville). Wildlife Research, 43(1), pp.38-50.",(Short 2016)
"Short, J., Copley, P., Ruykys, L., Morris, K., Read, J. and Moseby, K., 2019. Review of translocations of the greater stick-nest rat (Leporillus conditor): lessons learnt to facilitate ongoing recovery. Wildlife Research, 46(6), pp.455-475.",(Short et al. 2019)
"Short, J., Kinnear, J.E. and Robley, A., 2002. Surplus killing by introduced predators in Australia—evidence for ineffective anti-predator adaptations in native prey species?. Biological Conservation, 103(3), pp.283-301.",(Short et al. 2002)
"Short, J., Richards, J.D. and O’Neill, S., 2017. Reintroduction of the greater stick-nest rat (Leporillus conditor) to Heirisson Prong, Shark Bay: an unsuccessful attempt to establish a mainland population. Australian Mammalogy, 40(2), pp.269-280.",(Short et al. 2018)
"Short, J., Richards, J.D. and Turner, B., 1998. Ecology of the western barred bandicoot (Perameles bougainville)(Marsupialia: Peramelidae) on Dorre and Bernier Islands, Western Australia. Wildlife Research, 25(6), pp.567-586.",(Short et al. 1999)
"Showler D. A., Cote, I. M., Jones C. G. 2002. Population census and habitat use of Rodrigues Warbler Acrocephalus rodericanus . Bird Conservation International 12(3): 211-230.",(Showler et al. 2002)
"Sim, J. Roxburgh, J. 2007. Brown Teal bouncing back. Southern Bird: 8-9.",(Sim & Roxburgh 2007)
"Simeone, A., Luna-Jorquera, G., Bernal, M., Garthe, S., Sepúlveda, F., Villablanca, R., Ellenberg, U., Contreras, M., Mun̈oz, J. and Ponce, T., 2003. Breeding distribution and abundance of seabirds on islands off north-central Chile. Revista Chilena de Historia Natural, 76(2), pp.323-333.",(Simeone et al. 2003)
"Simon, J. C., Baker, P. E., Baker, H. 2020. Maui Parrotbill (Pseudonestor xanthophrys), version 1.0. In Birds of the World. Ithaca, NY, USA. Cornell Lab of Ornithology.",(Simon et al. 1997)
Skilton J 2009. Pateke update at Travis Wetland 2009. Wet & Wild 22: 5.,(Skilton 2009)
"Smith, A.P. and Quin, D.G. 1996. Patterns and causes of extinction and decline in Australian conilurine rodents. Biological Conservation 77: 243-267.",(Smith & Quin 1996)
"Smith, A.P. and Quin, D.G., 1996. Patterns and causes of extinction and decline in Australian conilurine rodents. Biological conservation, 77(2-3), pp.243-267.",(Smith & Quin 1996)
"Smith, K.J., Evans, M.J., Gordon, I.J., Pierson, J.C., Stratford, S. and Manning, A.D., 2023. Mini Safe Havens for population recovery and reintroductions ‘beyond-the-fence’. Biodiversity and Conservation, 32(1), pp.203-225.",(Smith et al. 2023)
"Smith, W.J.S. and Robertson, P. 1999. National Recovery Plan for the Striped Legless Lizard (Delma impar): 1999-2003. Unpublished report to Environment Australia, Canberra.",(Smith & Robertson 1999)
"Smucker TD, Lindsey GD, Mosher SN (2000) Home range and diet of feral cats in Hawai’i forests. Pacific Conservation Biology, 6, 228-237.",(Smucker et al. 2000)
"Snell, H.L., Snell, H.M. and Tracy, C.R. 1984. Variation among populations of Galapagos land iguanas (Conolophus): contrasts of phylogeny and ecology. Biological Journal of the Linnean Society 21(1-2): 185-207.",(Snell et al. 1984)
"Snetsinger, T. J., Wakelee, K. M., Fancy, S. G. 1999. Puaiohi (Myadestes palmeri). In: Poole, A,; Gill, F. (ed.), The birds of North America, No. 461, pp. 1-20. The Birds of North America, Inc., Philadelphia.",(Snetsinger et al. 1999)
"Snetsinger, T. J.; Reynolds, M. H.; Herrmann, C. M. 1998. 'O'u (Psittirostra psittacea) and Lana'i Hookbill (Dysmorodrepanis munroi). In: Poole, A.; Gill, F. (ed.), The birds of North America, No. 335-336, pp. 1-20. The Birds of North America, Inc., Philadelphia.",(Snetsinger et al. 1998)
"Snetsinger, T.J., Herrmann, C.M., Holmes, D.E., Hayward, C.D., Fancy, S. G. 2005. Breeding ecology of the Puaiohi (Myadestes palmeri). Wilson Bulletin 117: 72-84.",(Snetsinger et al. 2005)
"Snetsinger, T.J., S.G. Fancy, J.C. Simon, and J.D. Jacobi. 1994. Diets of owls and feral cats in Hawai`i. `Elepaio 54:47-50.",(Snetsinger et al. 1994)
"Soderquist, T.R. (1995). The importance of hypothesis testing in reintroduction biology: examples from the reintroduction of the carnivorous marsupial Phascogale tapoatafa. In Reintroduction biology of Australian and New Zealand fauna, ed. M. Serena. Surrey Beatty & Sons, Sydney, pp. 159-64.",(Soderquist 1994)
"Soderquist, T.R. and Serena, M., 1994. An experimental reintroduction programme for brush-tailed phascogales (Phascogale tapoatafa): the interface between captivity and the wild. In Creative Conservation: Interactive Management of Wild and Captive Animals (pp. 431-438). Dordrecht: Springer Netherlands.",(Soderquist & Serena 1994)
"Soderquist, T.R., 1994. The importance of hypothesis testing in reintroduction biology: examples from the reintroduction of the carnivorous marsupial Phascogale tapoatafa. Reintroduction biology of Australian and New Zealand fauna, pp.156-164.",(Soderquist 1994)
"Southgate, R., Palmer, C., Adams, M., Masters, P., Triggs, B. and Woinarski, J., 1996. Population and habitat characteristics of the golden bandicoot (Isoodon auratus) on Marchinbar Island, Northern Territory. Wildlife Research, 23(6), pp.647-664.",(Southgate et al. 1996)
"Southgate, R., Paltridge, R., Masters, P. and Carthew, S., 2007. Bilby distribution and fire: a test of alternative models of habitat suitability in the Tanami Desert, Australia. Ecography, 30(6), pp.759-776.",(Southgate et al. 2007)
"Spurr, E.B. and Anderson, S.H., 2004. Bird species diversity and abundance before and after eradication of possums and wallabies on Rangitoto Island, Hauraki Gulf, New Zealand. New Zealand Journal of Ecology, pp.143-149.",(Spurr & Anderson 2004)
"Stahl, J.C., Mougin, J.L., Jouventin, P. & Weimerskirch, H. 1984. Le Canard D’Eaton, Anas eatoni drygalskii, des Iles Crozet: Systématique, comportement alimentaire et biologie de reproduction. Le Gerfaut 74:305-326.",(Stahl et al. 1984)
"Stattersfield, A.J., Crosby, M.J., Long, A.J. and Wege, D.C. 1998. Endemic bird areas of the world: priorities for bird conservation. BirdLife International, Cambridge, U.K.",(Stattersfield 1998)
"Staus, N. L. 1997. West Indian Whistling-duck Action Plan.",(Staus 1997)
"Staus, N. L. 1998. Behaviour and natural history of the West Indian Whistling-Duck Dendrocygna arborea on Long Island, Bahamas. Wildfowl 49: 194-206.",(Staus 1998)
"Steadman, D.W., 1995. Prehistoric extinctions of Pacific island birds: biodiversity meets zooarchaeology. Science, 267(5201), pp.1123-1131.",(Steadman 1995)
"Steffens, K.E., Sanders, M.D., Gleenson, D.M., Pullen, K.M. and Stowe, C.J., 2012. Identification of predators at black-fronted tern Chlidonias albostriatus nests, using mtDNA analysis and digital video recorders. New Zealand Journal of Ecology, pp.48-55.",(Steffens et al. 2012)
"Steindler, L. and Letnic, M., 2021. Not so naïve: endangered mammal responds to olfactory cues of an introduced predator after less than 150 years of coexistence. Behavioral Ecology and Sociobiology, 75, pp.1-10.",(Steindler & Letnic 2021)
"Steindler, L.A., Blumstein, D.T., West, R., Moseby, K.E. and Letnic, M., 2018. Discrimination of introduced predators by ontogenetically naïve prey scales with duration of shared evolutionary history. Animal Behaviour, 137, pp.133-139.",(Steindler et al. 2018)
"Steindler, L.A., Blumstein, D.T., West, R., Moseby, K.E. and Letnic, M., 2020. Exposure to a novel predator induces visual predator recognition by naïve prey. Behavioral Ecology and Sociobiology, 74, pp.1-13.",(Steindler et al. 2020)
"Steinfurth, A. 2007. The marine ecology and conservation of the Galápagos penguin. Ph.D. thesis, University of Kiel.",(Steinfurth 2007)
"Steinfurth, A. 2007. The marine ecology and conservation of the Galápagos penguin. Ph.D. thesis, University of Kiel. Germany.",(Steinfurth 2007)
"Steinfurth, A., and G. Merlen. 2005. Predación de gatos salvajes (Felis catus) sobre el pingüino de Galápagos (Spheniscus mendiculus) en Caleta Iguana, Isla Isabela. Unpublished report to the Galápagos National Park Service and the Charles Darwin Foundation, Puerto Ayora, Ecuador",(Steinfurth & Merlen 2005)
"Stepkovitch, B., Van der Weyde, L.K., Finlayson, G., Blumstein, D.T., Letnic, M. and Moseby, K.E., 2024. Reintroducing native predators improves antipredator responses in naïve prey. Animal Behaviour, 214, pp.11-25.",(Stepkovitch et al. 2024)
"Stirnemann, R., 2015. Ecology and drivers of decline in a tropical island honeyeater: the Ma'oma'o: a thesis presented in partial fulfilment of the requirements for the degree of Doctor of Philosophy in Zoology at Massey University, Manawatu, New Zealand (Doctoral dissertation, Massey University).",(Stirnemann 2015)
"Stobo-Wilson, A.M., Stokeld, D., Einoder, L.D., Davies, H.F., Fisher, A., Hill, B.M., Mahney, T., Murphy, B.P., Scroggie, M.P., Stevens, A. and Woinarski, J.C.Z., 2020. Bottom-up and top-down processes influence contemporary patterns of mammal species richness in Australia's monsoonal tropics. Biological Conservation, 247, p.108638.",(Stobo-Wilson et al. 2020)
"Stokeld D, Fisher A, Gentles T, Hill B, Triggs B, Woinarski JCZ, Gillespie GR. 2018. What do predator diets tell us about mammal declines in Kakadu National Park? Wildlife Research 45:92-101.",(Stokeld et al. 2018)
"Stokeld, D., Gentles, T., Young, S., Hill, B., Fisher, A., Woinarski, J. and Gillespie, G., 2016. Experimental evaluation of the role of feral cat predation in the decline of small mammals in Kakadu National Park. NT Department of Land Resource Management, Berrimah.",(Stokeld et al. 2016)
"Stroud, J.T., Giery, S.T. and Outerbridge, M.E., 2017. Establishment of Anolis sagrei on Bermuda represents a novel ecological threat to Critically Endangered Bermuda skinks (Plestiodon longirostris). Biological Invasions, 19, pp.1723-1731.",(Stroud et al. 2017)
"Sugimura, K., Sato, S., Yamada, F., Abe, S., Hirakawa, H. and Handa, Y., 2000. Distribution and abundance of the Amami rabbit Pentalagus furnessi in the Amami and Tokuno Islands, Japan. Oryx, 34(3), pp.198-206.",(Sugimura et al. 2000)
"Sumner, E. L.,Jr. and R. M. Bond. 1939. An investigation of Santa Barbara, Anacapa, and San Miguel islands, California. Unpublished report to Channel Islands National Monument, Ventura, California.",(Sumner & Bond 1939)
"Suyanto, I. 1998. Mammals of Flores Island. In: H. Simbolon (ed.), The Natural Resources of Flores Island, pp. 78-87. Bogor.",(Suyanto 1998)
"Swarth, H., 1931. The avifauna of the Galapagos Islands. Occasional Papers of the California Academy of Science 18, 5-299.",(Swarth 1931)
"Swedberg, G.E. 1967. The Koloa: a preliminary report on the life history and status of the Hawaiian Duck (Anas wyvilliana). Department of Land and Natural Resources, Honolulu, Hawaii, USA.",(Swedberg 1967)
"T. Hall, pers. comm. 2020","T. Hall, pers. comm. 2020"
"T. Holmes, D. Caskey, “Translocation of wild-caught and captive-reared blue duck Hymenolaimus malacorhynchos” (Department of Conservation, Wellington, 2001).",(Holmes & Caskey 2001)
T. Pratt in litt. 1999,T. Pratt in litt. 1999
"T. R. Simons, ""Biology and conservation of the endangered Hawaiian dark-rumped Petrel (Pterodroma phaeopygia sandwichensis)"", thesis, University of Washington (1983).",(Simons 1983)
"T. R. Simons, A population model of the endangered Hawaiian dark-rumped petrel. Journal of Wildlife Management. 48, 1065–1076 (1984).",(Simons 1984)
"T. R. Simons, Biology and behavior of the endangered Hawaiian dark-rumped petrel. The Condor. 87, 229–245 (1985).",(Simons 1985)
"T. Wilson, K. Hansen, Predator control to enhance breeding success of the New Zealand fairy tern Sterna nereis davisae, North Island, New Zealand. Conservation Evidence. 2, 89 (2005).",(Wilson & Hansen 2005)
"TURBOTT, E. G. 1947. Birds of Little Barrier Island; NZ Bird Notes 2: 92-108.",(Turbott 1947)
"TURBOTT, E. G. 1961. Birds. Pages 136.175 in Hamllton W. M. (compiler) Llttle Barrier Island (Hauturu). 2nd edn. NZ DSIR Bull. 137.",(Turbott 1961)
"Tay, N.E., Fleming, P.A., Warburton, N.M. and Moseby, K.E., 2021. Predator exposure enhances the escape behaviour of a small marsupial, the burrowing bettong. Animal Behaviour, 175, pp.45-56.",(Tay et al. 2021)
"Taylor, B., van Perlo, B. 1998. Rails: A Guide to the Rails, Crakes, Gallinules and Coots of the World. Pica Press, Robertsbridge, UK.",(Taylor & van Perlo 1998)
"Taylor, G. A. 1986. The ecology of Norway rats on Campbell Island. Unpublished report, Ecology Division, DSIR, Nelson.",(Taylor 1986)
"Telfer TC. 1986. Newell's Shearwater nesting colony establishment study on the island of Kauai. Final Report, Statewide Pittman‐Robertson Program, State of Hawaii, Department of Land and Natural Resources, Division of Forestry and Wildlife Honolulu, Hawaii.",(Telfer 1986)
"Telfer, pers. comm 1998","Telfer, pers. comm 1998"
"Tennent, W.J., 2009. A cat among the pigeons! Known specimens and supposed distribution of the extinct Solomons Crested Pigeon Microgoura meeki Rothschild, 1904. Bulletin of the British Ornithologists’ Club, 129, pp.241-253.",(Tennent 2009)
"Tennyson, A. J. D.; Martinson, P. 2006. Extinct Birds of New Zealand. Te Papa Press, Wellington.",(Tennyson & Martinson 2006)
"Tennyson, A.J., Miskelly, C.M., Totterman, S.L. 2012. Observations of collared petrels (Pterodroma brevipes) on Vanua Lava, Vanuatu, and a review of the species’ breeding distribution. Notornis 59: 39-48.",(Tennyson et al. 2012)
"Tenorio, J., Hidalgo, C., Montoya, M. and Ramírez-Alán, O., 2020. Reproductive behavior, foraging and habitat use of Coccyzus ferrugineus (Cuculiformes: Cuculidae), Isla del Coco, Costa Rica. Revista de Biología Tropical, 68, pp.163-176.",(Tenorio et al. 2020)
"Teodósio J., Ceia, R., Costa, L. 2009. Species Action Plan for the Azores Bullfinch Pyrrhula murina in the European Union. 19. Available at: http://ec.europa.eu/environment/nature/conservation/wildbirds/action_plans/docs/pyrrhula_murina.pdf.",(Teodosio et al. 2009)
"Thibault, J-C., Cibois, A. 2006. The natural history and conservation of Acrocephalus rimitarae, the endemic reed-warbler of Rimitara Island, Oceania. Bulletin of the British Ornithologists' Club 126(3): 201-207.",(Thibault & Cibois 2006a)
"Thibault, J. -C. 1988. Menaces et conservation des oiseaux de Polynésie Française. In: Thibault, J.-C.; Guyot, I. (ed.), Livre rouge des oiseaux menacés des régions françaises d'outre-mer, pp. 87-124. Conseil International pour la Protection des Oiseaux, Saint-Cloud.",(Thibault 1988)
"Thibault, J.-C., Cibois, A. 2017. Birds of Eastern Polynesia: A Biogeographic Atlas. Lynx Edicions, Barcelona, Spain.",(Thibault & Cibois 2017)
"Thibault, J.-C.; Cibois, A. 2006. Une situation favorable pour le Rupe de Makatea. Te Manu 54: 2-3.",(Thibault & Cibois 2006b)
"Thibault, M., Brescia, F., Vidal, E. and Jourdan, H. 2017. Invasive rodents, an overlooked threat for skinks in a tropical island hotspot of biodiversity. New Zealand Ecological Society 41: 74-83.",(Thibault et al. 2017)
"Thiebot, J-B., Barbraud, C., Delord, K., Marteau, C. and Weimerskirch, H. 2014. Do Introduced Mammals Chronically Impact the Breeding Success of the World's Rarest Albatross? Ornithological Science 13(1): 41-46.",(Thiebot et al. 2014)
"Thomas, B.W. 1981. Hoplodactylus rakiurae n. sp. (Reptilia: Gekkonidae) from Stewart Island, New Zealand, and comments on the taxonomic status of Heteropholis nebulosus McCann. New Zealand Journal of Zoology 8: 33–47.",(Thomas 1981)
"Thomas, B.W. 1985. Distribution and ecology of the Fiordland skink (Leiolopisma acrinasum). New Zealand Journal of Ecology 8: 152.",(Thomas 1985)
"Thompson, D. R.; Sagar, P. M. 2007. Conduct a population and distributional study on White-capped Albatross at the Auckland Islands.",(Thompson et al. 2007)
"Thompson, G.G., Thompson, S.A. and Bengsen, A., 2019. The value of camera traps in monitoring a feral-cat and fox reduction program. Wildlife Research, 46(7), pp.599-609.",(Thompson et al. 2019)
"Thomson, G.M.1922. The naturalisation of animals and plants in New Zealand. Cambridge University Press.",(Thomson 1992)
"Thorsen M, Blanvillain C, Sulpice R (2002) Reasons for decline, conservation needs, and a translocation of the critically endangered upe (Marquesas imperial pigeon, Ducula galeata), French Polynesia. DOC Science Internal Series 88. Department of Conservation, Wellington, 20 pp.",(Thorsen et al. 2002)
Threatened Species Scientific Committee (Cth). 2008. Approved conservation advice for Notomys fuscus (Dusky Hopping-mouse). Available at: http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=125. (Accessed: 15 June 2012).,(Threatened Species Scientific Committee 2008a)
"Threatened Species Scientific Committee (TSSC) 2006, Commonwealth Listing Advice on Egernia obiri, Department of Environment, Water, Heritage, and the Arts, viewed 1 April 2008, <http://www.environment.gov.au/biodiversity/threatened/species/pubs/egernia-obiri-listing.pdf>.",(Threatened Species Scientific Committee 2006)
"Threatened Species Scientific Committee (TSSC). 2008. Commonwealth Conservation Advice on Egernia obiri. Department of the Environment, Water, Heritage and the Arts.",(Threatened Species Scientific Committee 2008b)
Threatened Species Scientific Committee. 2016. Approved Conservation Advice for Tympanocryptis condaminensis (Condamine earless dragon).,(Threatened Species Scientific Committee 2016c)
"Threatened Species Scientific Committee. 2016. Conservation Advice for Amytornis dorotheae Carpentarian grasswren. Department of the Environment, Canberra.",(Threatened Species Scientific Committee 2016a)
"Threatened Species Scientific Committee. 2021. Draft Conservation Advice: Litoria watsoni. Australian Government Department of Agriculture, Water and the Environment, Canberra.",(Threatened Species Scientific Committee 2021)
"Tidemann, C. R., Yorkston, H., and Russack, A. J. 1994. The diet of cats, Felis catus, on Christmas Island, Indian Ocean. Wildlife Research 21: 279-285.",(Tidemann et al. 1994)
"Tocher, M.D. 2006. Survival of Grand and Otago Skinks Following Predator Control. Journal of Wildlife Management 70(1): 31-42.",(Tocher 2006)
"Tocher, M.D., 2006. Survival of grand and Otago skinks following predator control. The Journal of Wildlife Management, 70(1), pp.31-42.",(Tocher 2006)
"Tolson, P. 1996. Conservation of Epicrates monensis on the satellite islands of Puerto Rico. In: R. Powell and R.W. Henderson (eds), Contributions to West Indian Herpetology, pp. 407-416. Society for the Study of Amphibians and Reptiles, Ithaca, NY.",(Tolson 1996)
"Tolson, P.J. and Henderson, R.W. 2011. An Overview Of Snake Conservation In The West Indies. In: A. Hailey, B.S. Wilson and J.A. Horrocks (eds), Conservation of Caribbean Island Herpetofaunas Volume 1: Conservation Biology and the Wider Caribbean, pp. 49-62. Brill.",(Tolson & Henderson 2011)
"Tomasevic, J. A., Hodum, P. J., Estades, C. F. 2010. On the ecology and conservation of the Critically Endangered Masafuera Rayadito (Aphrastura masafuerae). Ornitologia Neotropical 21(3): 535-543.",(Tomasevic et al. 2010)
"Tomkins RJ (1985) Breeding success and mortality of dark-rumped petrels in the Galapagos, and control of their predators. In: Conservation of Island Birds (ed Moors PJ) pp. 159-175. ICBP Technical Publication No. 3, Cambridge.",(Tomkins 1985)
"Towns, D.R. 1994. The role of ecological restoration in the conservation of Whitaker's skink (Cyclodina whitakeri), a rare New Zealand lizard (Lacertilia: Scincidae). New Zealand Journal of Zoology 21: 457-471.",(Towns 1994)
